,Rooms,Type,Method,Distance,Bathroom,Car,Landsize,BuildingArea,RegionName,PropertyCount,Price,Age
7312,2,h,PI,5.5,1,1,136,78,Northern Metropolitan,11364,790000,19
7313,3,h,S,5.5,1,2,497,,Northern Metropolitan,11364,990000,
7314,2,u,S,5.5,1,2,0,65,Northern Metropolitan,11364,605000,19
7315,2,h,PN,5.5,,,,,Northern Metropolitan,11364,,
7316,2,u,W,5.5,,,,,Northern Metropolitan,11364,,
7317,2,h,S,5.5,,,,,Northern Metropolitan,11364,1153000,
7318,4,h,S,5.5,2,2,440,,Northern Metropolitan,11364,2270000,27
7319,1,u,SP,5.5,1,0,0,41,Northern Metropolitan,11364,385000,49
7320,4,h,S,5.5,,,,,Northern Metropolitan,11364,1300000,
7321,2,u,PI,5.5,1,1,678,,Northern Metropolitan,11364,,54
7322,2,h,S,5.5,1,0,367,,Northern Metropolitan,11364,900000,
7323,4,h,S,5.5,1,2,0,,Northern Metropolitan,11364,1340000,
7324,3,h,S,5.5,2,1,379,,Northern Metropolitan,11364,1300000,
7325,2,t,PI,5.5,,,,,Northern Metropolitan,11364,680000,
7326,4,h,PI,5.5,2,2,282,,Northern Metropolitan,11364,1310000,
7327,2,h,S,5.5,1,2,238,,Northern Metropolitan,11364,1112000,
7328,5,h,SN,5.5,2,2,442,289,Northern Metropolitan,11364,,69
7329,3,h,SN,5.5,1,2,532,115,Northern Metropolitan,11364,,96
7330,2,h,S,5.5,1,2,229,,Northern Metropolitan,11364,910000,119
7331,4,h,SN,5.5,,,,,Northern Metropolitan,11364,,
7332,2,u,VB,5.5,,,,,Northern Metropolitan,11364,520000,
7333,3,h,SN,5.5,2,0,137,140,Northern Metropolitan,11364,,99
7334,3,t,S,5.5,3,1,55,,Northern Metropolitan,11364,830000,6
7335,4,h,SN,5.5,,,,,Northern Metropolitan,11364,,
7336,4,h,PI,5.5,1,2,0,,Northern Metropolitan,11364,2100000,
7337,3,t,S,5.5,,,,,Northern Metropolitan,11364,1102000,
7338,3,h,S,5.5,1,1,445,125,Northern Metropolitan,11364,1190000,99
7339,4,h,SN,5.5,2,2,0,,Northern Metropolitan,11364,,
7340,3,t,S,5.5,1,2,184,108,Northern Metropolitan,11364,865000,13
7341,3,h,PI,5.5,2,1,270,,Northern Metropolitan,11364,,89
7342,3,h,PI,5.5,2,2,286,188,Northern Metropolitan,11364,,12
7343,4,h,S,5.5,2,1,573,186,Northern Metropolitan,11364,2175000,129
7344,3,h,S,5.5,1,2,610,,Northern Metropolitan,11364,1085000,
7345,1,u,S,5.5,1,1,0,39,Northern Metropolitan,11364,312000,59
7346,5,h,PN,5.5,3,2,777,385,Northern Metropolitan,11364,,18
7347,1,u,PI,5.5,1,0,0,,Northern Metropolitan,11364,320000,
7348,2,h,S,5.5,1,1,225,92,Northern Metropolitan,11364,890000,109
7349,2,h,S,5.5,1,1,269,,Northern Metropolitan,11364,,99
7350,3,t,SP,5.5,,,,,Northern Metropolitan,11364,875000,
7351,5,h,S,5.5,3,3,490,331,Northern Metropolitan,11364,2700000,99
7352,2,h,S,5.5,1,0,229,99,Northern Metropolitan,11364,1101000,109
7353,2,h,VB,5.5,,,,,Northern Metropolitan,11364,550000,
7354,3,h,S,5.5,1,2,380,,Northern Metropolitan,11364,926000,
7355,5,h,S,5.5,2,0,351,150,Northern Metropolitan,11364,,94
7356,3,h,SP,5.5,1,0,158,106,Northern Metropolitan,11364,1050000,109
7357,3,h,S,5.5,1,1,178,124,Northern Metropolitan,11364,1010000,19
7358,5,h,S,5.5,2,2,692,,Northern Metropolitan,11364,2155000,99
7359,2,h,SP,5.5,2,1,0,,Northern Metropolitan,11364,,
7360,2,u,PI,5.5,1,1,0,,Northern Metropolitan,11364,430000,49
7361,3,h,SP,5.5,1,1,522,174,Northern Metropolitan,11364,1900000,109
7362,2,h,SP,5.5,1,1,190,102,Northern Metropolitan,11364,888000,34
7363,2,h,S,5.5,1,1,354,97,Northern Metropolitan,11364,1020000,99
7364,3,h,S,5.5,3,2,425,,Northern Metropolitan,11364,1160000,
7365,2,h,S,5.5,1,1,174,106,Northern Metropolitan,11364,844000,24
7366,3,h,S,5.5,3,1,448,,Northern Metropolitan,11364,1860000,
7367,3,h,S,5.5,1,2,401,,Northern Metropolitan,11364,1676000,
7368,3,t,S,5.5,2,2,608,138,Northern Metropolitan,11364,900000,7
7369,3,h,S,5.5,1,1,328,135,Northern Metropolitan,11364,1300000,99
7370,3,u,SP,5.5,1,2,150,119,Northern Metropolitan,11364,810000,19
7371,3,h,S,5.5,2,1,278,151,Northern Metropolitan,11364,,119
7372,2,t,SP,5.5,1,1,0,109,Northern Metropolitan,11364,701000,19
7373,1,u,S,5.5,1,0,0,,Northern Metropolitan,11364,410000,
7374,2,h,S,5.5,1,2,314,120,Northern Metropolitan,11364,1255000,
7375,1,u,PI,5.5,,,,,Northern Metropolitan,11364,310000,
7376,3,h,S,5.5,,,,,Northern Metropolitan,11364,1215000,
7377,2,u,PI,5.5,1,1,120,76,Northern Metropolitan,11364,665000,44
7378,2,h,S,5.5,,,,,Northern Metropolitan,11364,1800000,
7379,4,h,SN,5.5,1,1,351,128,Northern Metropolitan,11364,,94
7380,2,h,S,5.5,2,1,152,120,Northern Metropolitan,11364,1085000,
7381,3,h,SP,5.5,1,2,899,143,Northern Metropolitan,11364,2315000,59
7382,4,h,S,5.5,2,2,634,,Northern Metropolitan,11364,,99
7383,2,h,S,5.5,1,3,453,93,Northern Metropolitan,11364,1170000,99
7384,2,h,S,5.5,1,1,0,,Northern Metropolitan,11364,875000,
7385,3,h,S,5.5,1,2,185,105,Northern Metropolitan,11364,,129
7386,3,h,S,5.5,1,1,407,143,Northern Metropolitan,11364,1715000,119
7387,3,h,S,5.5,1,1,302,,Northern Metropolitan,11364,1396500,
7388,1,u,S,5.5,1,1,0,40,Northern Metropolitan,11364,422000,49
7389,3,h,S,5.5,1,0,304,131,Northern Metropolitan,11364,1474000,109
7390,3,h,S,5.5,2,1,165,,Northern Metropolitan,11364,1340000,22
7391,3,h,S,5.5,1,0,279,,Northern Metropolitan,11364,980000,
7392,2,h,S,5.5,1,2,243,102,Northern Metropolitan,11364,1035000,129
7393,2,u,VB,5.5,1,1,0,65,Northern Metropolitan,11364,460000,10
7394,3,h,S,5.5,2,2,403,180,Northern Metropolitan,11364,1760000,99
7395,2,t,VB,5.5,,,,,Northern Metropolitan,11364,700000,
7396,3,h,S,5.5,1,2,274,,Northern Metropolitan,11364,975000,13
7397,2,h,S,5.5,1,1,282,,Northern Metropolitan,11364,,
7398,4,h,S,5.5,2,0,279,157,Northern Metropolitan,11364,,99
7399,2,h,S,5.5,1,2,306,86,Northern Metropolitan,11364,1095000,109
7400,3,h,S,5.5,1,0,0,,Northern Metropolitan,11364,1121000,
7401,1,u,PI,5.5,1,1,0,,Northern Metropolitan,11364,370000,
7402,3,h,SP,5.5,1,2,307,135,Northern Metropolitan,11364,1225000,109
7403,4,h,S,5.5,2,1,569,,Northern Metropolitan,11364,2004000,
7404,2,h,S,5.5,1,1,178,100,Northern Metropolitan,11364,1211000,119
7405,5,h,SP,5.5,4,3,569,,Northern Metropolitan,11364,4300000,109
7406,2,t,W,5.5,2,1,40,2,Northern Metropolitan,11364,,
7407,3,h,S,5.5,1,1,335,,Northern Metropolitan,11364,1400000,
7408,2,u,S,5.5,1,1,129,115,Northern Metropolitan,11364,770000,44
7409,3,h,SP,5.5,1,2,318,,Northern Metropolitan,11364,1090000,
7410,4,h,S,5.5,1,1,654,,Northern Metropolitan,11364,1830000,
7411,3,h,VB,5.5,1,1,440,131,Northern Metropolitan,11364,1000000,89
7412,2,u,S,5.5,1,1,671,,Northern Metropolitan,11364,600000,
7413,2,h,SP,5.5,1,0,196,,Northern Metropolitan,11364,,
7414,2,u,S,5.5,1,1,0,,Northern Metropolitan,11364,692000,7
7415,1,u,SP,5.5,,,,,Northern Metropolitan,11364,389000,
7416,3,h,S,5.5,,,,,Northern Metropolitan,11364,1620500,
7417,3,t,S,5.5,2,2,195,,Northern Metropolitan,11364,980000,
7418,2,h,SP,5.5,,,,,Northern Metropolitan,11364,722000,
7419,4,h,S,5.5,2,1,355,,Northern Metropolitan,11364,1310000,
7420,3,h,SN,5.5,1,1,251,129,Northern Metropolitan,11364,,94
7421,2,h,S,5.5,1,2,301,100,Northern Metropolitan,11364,1050000,94
7422,4,h,VB,5.5,,,,,Northern Metropolitan,11364,1100000,
7423,5,h,S,5.5,3,1,450,265,Northern Metropolitan,11364,1700000,89
7424,3,h,S,5.5,2,1,338,90,Northern Metropolitan,11364,2160000,99
7425,2,h,PI,5.5,,,,,Northern Metropolitan,11364,960000,
7426,2,h,S,5.5,2,2,320,,Northern Metropolitan,11364,,
7427,3,h,S,5.5,1,2,501,,Northern Metropolitan,11364,1610000,
7428,1,u,VB,5.5,1,1,0,43,Northern Metropolitan,11364,400000,5
7429,4,h,S,5.5,1,1,465,137,Northern Metropolitan,11364,1420000,129
7430,3,h,S,5.5,1,1,247,,Northern Metropolitan,11364,,
7431,4,h,S,5.5,2,1,489,140,Northern Metropolitan,11364,1950000,109
7432,5,h,SP,5.5,3,2,344,230,Northern Metropolitan,11364,1820000,80
7433,4,h,PI,5.5,2,1,537,,Northern Metropolitan,11364,1900000,
7434,3,h,S,5.5,1,1,348,130,Northern Metropolitan,11364,1080000,109
7435,2,h,PN,5.5,2,1,175,81,Northern Metropolitan,11364,,109
7436,3,h,S,5.5,1,1,247,,Northern Metropolitan,11364,,
7437,3,h,S,5.5,1,1,193,,Northern Metropolitan,11364,,
7438,2,u,VB,5.5,1,1,0,10,Northern Metropolitan,11364,570000,49
7439,3,h,PI,5.5,1,1,489,,Northern Metropolitan,11364,1450000,119
7440,2,h,PI,5.5,1,1,471,,Northern Metropolitan,11364,,
7441,3,h,S,5.5,1,2,582,,Northern Metropolitan,11364,1400000,87
7442,2,h,S,5.5,1,1,297,108,Northern Metropolitan,11364,1340000,109
7443,1,u,PI,5.5,1,1,0,,Northern Metropolitan,11364,340000,
7444,4,h,VB,5.5,3,2,187,,Northern Metropolitan,11364,1300000,49
7445,4,h,S,5.5,2,3,824,231,Northern Metropolitan,11364,2340000,99
7446,2,h,SP,5.5,1,2,376,109,Northern Metropolitan,11364,1634000,99
7447,4,h,S,5.5,1,0,417,,Northern Metropolitan,11364,,
7448,2,h,S,5.5,1,1,150,81,Northern Metropolitan,11364,910000,24
7449,4,h,S,5.5,1,1,382,168,Northern Metropolitan,11364,1650000,49
7450,3,t,S,5.5,2,1,229,,Northern Metropolitan,11364,1130000,
7451,4,h,PI,5.5,4,8,1390,,Northern Metropolitan,11364,3850000,107
7452,3,h,SN,5.5,2,2,228,102,Northern Metropolitan,11364,,104
7453,3,h,PI,5.5,1,3,327,165,Northern Metropolitan,11364,1510000,119
7454,3,h,PI,5.5,1,8,727,,Northern Metropolitan,11364,1500000,119
7455,4,h,S,5.5,2,4,750,,Northern Metropolitan,11364,2315000,
7456,4,t,SP,11.5,,,,,Northern Metropolitan,2651,670000,
7457,3,h,S,11.5,1,3,757,,Northern Metropolitan,2651,892000,
7458,2,h,S,11.5,1,2,577,,Northern Metropolitan,2651,592000,
7459,3,u,S,11.5,1,2,250,,Northern Metropolitan,2651,647000,
7460,3,u,PI,11.5,,,,,Northern Metropolitan,2651,,
7461,4,h,S,11.5,1,2,696,160,Northern Metropolitan,2651,865000,64
7462,4,h,S,11.5,2,2,590,237,Northern Metropolitan,2651,1350000,
7463,4,h,VB,11.5,,,,,Northern Metropolitan,2651,670000,
7464,2,u,S,11.5,1,1,189,85,Northern Metropolitan,2651,476000,24
7465,3,t,PI,11.5,2,2,176,113,Northern Metropolitan,2651,,9
7466,2,h,S,11.5,1,1,152,85,Northern Metropolitan,2651,,19
7467,4,h,PI,11.5,2,2,616,,Northern Metropolitan,2651,830000,69
7468,4,h,SP,11.5,,,,,Northern Metropolitan,2651,,
7469,3,h,PI,11.5,1,0,715,111,Northern Metropolitan,2651,706000,59
7470,4,h,S,11.5,2,2,780,179,Northern Metropolitan,2651,920000,54
7471,2,u,S,11.5,,,,,Northern Metropolitan,2651,,
7472,3,h,SN,11.5,2,2,327,195,Northern Metropolitan,2651,,19
7473,2,u,S,11.5,1,1,161,91,Northern Metropolitan,2651,522000,7
7474,4,h,PN,11.5,2,2,665,254,Northern Metropolitan,2651,,14
7475,3,u,S,11.5,1,1,0,,Northern Metropolitan,2651,358500,
7476,4,h,S,11.5,1,1,553,137,Northern Metropolitan,2651,690000,59
7477,3,h,PN,11.5,1,1,276,94,Northern Metropolitan,2651,,69
7478,2,t,VB,11.5,,,,,Northern Metropolitan,2651,520000,
7479,4,h,S,11.5,2,1,589,,Northern Metropolitan,2651,800000,
7480,4,t,PI,11.5,2,1,405,226,Northern Metropolitan,2651,,19
7481,3,t,S,11.5,2,2,272,138,Northern Metropolitan,2651,770000,7
7482,5,h,PI,11.5,2,4,783,223,Northern Metropolitan,2651,1100000,69
7483,5,h,PI,11.5,,,,,Northern Metropolitan,2651,,
7484,3,h,S,11.5,1,2,719,,Northern Metropolitan,2651,727500,
7485,3,u,SP,11.5,,,,,Northern Metropolitan,2651,600000,
7486,4,h,S,11.5,2,2,694,95,Northern Metropolitan,2651,,69
7487,3,h,S,11.5,,,,,Northern Metropolitan,2651,1160000,
7488,3,h,S,11.5,1,4,815,,Northern Metropolitan,2651,925000,22
7489,2,t,PI,11.5,1,1,118,113,Northern Metropolitan,2651,475000,9
7490,2,u,PI,11.5,1,1,138,76,Northern Metropolitan,2651,,10
7491,2,t,SP,11.5,2,1,135,125,Northern Metropolitan,2651,,8
7492,4,t,SP,11.5,,,,,Northern Metropolitan,2651,715750,
7493,3,h,S,11.5,,,,,Northern Metropolitan,2651,862500,
7494,3,u,S,11.5,2,2,198,113,Northern Metropolitan,2651,651000,10
7495,3,t,SP,11.5,2,2,264,,Northern Metropolitan,2651,770000,
7496,3,h,SP,11.5,1,1,705,,Northern Metropolitan,2651,900000,
7497,3,h,S,11.5,2,2,790,165,Northern Metropolitan,2651,815500,79
7498,3,h,S,11.5,2,2,382,173,Northern Metropolitan,2651,770000,59
7499,3,t,S,11.5,,,,,Northern Metropolitan,2651,599900,
7500,2,t,S,11.5,1,1,161,86,Northern Metropolitan,2651,585500,6
7501,4,h,SP,11.5,1,2,704,196,Northern Metropolitan,2651,840000,59
7502,3,t,S,11.5,,,,,Northern Metropolitan,2651,765000,
7503,4,h,S,11.5,1,1,780,,Northern Metropolitan,2651,1005000,
7504,3,h,S,11.5,1,1,663,172,Northern Metropolitan,2651,,68
7505,6,h,VB,11.5,2,1,849,215,Northern Metropolitan,2651,,59
7506,2,u,VB,11.5,1,1,138,76,Northern Metropolitan,2651,470000,10
7507,3,h,SP,11.5,1,3,763,93,Northern Metropolitan,2651,810000,59
7508,3,t,S,11.5,,,,,Northern Metropolitan,2651,600000,
7509,3,t,S,11.5,,,,,Northern Metropolitan,2651,675500,
7510,3,h,S,11.5,,,,,Northern Metropolitan,2651,723000,
7511,2,h,S,11.5,,,,,Northern Metropolitan,2651,626000,
7512,3,h,VB,11.5,,,,,Northern Metropolitan,2651,590000,
7513,3,h,S,11.5,,,,,Northern Metropolitan,2651,1201000,
7514,3,u,PI,11.5,1,1,196,,Northern Metropolitan,2651,550000,
7515,3,h,S,11.5,,,,,Northern Metropolitan,2651,940000,
7516,4,h,S,11.5,1,2,694,183,Northern Metropolitan,2651,855333,45
7517,2,t,S,11.5,,,,,Northern Metropolitan,2651,572000,
7518,5,h,VB,11.5,2,2,568,260,Northern Metropolitan,2651,900000,24
7519,2,h,S,11.5,1,2,0,,Northern Metropolitan,2651,480000,
7520,4,h,S,14.7,,,,,South-Eastern Metropolitan,3692,991000,
7521,2,h,S,14.7,,,,,South-Eastern Metropolitan,3692,1242000,
7522,2,t,SP,14.7,,,,,South-Eastern Metropolitan,3692,665000,
7523,3,t,S,14.7,2,1,189,123,South-Eastern Metropolitan,3692,680000,
7524,3,h,S,14.7,1,2,646,,South-Eastern Metropolitan,3692,981000,
7525,4,h,S,14.7,,,,,South-Eastern Metropolitan,3692,1100000,
7526,4,h,S,14.7,2,1,535,,South-Eastern Metropolitan,3692,876000,
7527,3,h,S,14.7,2,1,258,105,South-Eastern Metropolitan,3692,875000,20
7528,3,h,S,14.7,2,3,0,137,South-Eastern Metropolitan,3692,,49
7529,3,h,S,14.7,,,,,South-Eastern Metropolitan,3692,,
7530,4,h,PI,14.7,2,2,214,189,South-Eastern Metropolitan,3692,651000,9
7531,3,h,S,14.7,1,2,533,120,South-Eastern Metropolitan,3692,802000,59
7532,3,h,S,14.7,1,1,530,,South-Eastern Metropolitan,3692,995000,
7533,3,h,S,14.7,,,,,South-Eastern Metropolitan,3692,885000,
7534,4,h,S,14.7,2,2,581,,South-Eastern Metropolitan,3692,881500,
7535,9,h,S,14.7,,,,,South-Eastern Metropolitan,3692,1380000,
7536,4,h,S,14.7,,,,,South-Eastern Metropolitan,3692,1346000,
7537,4,h,S,14.7,,,,,South-Eastern Metropolitan,3692,980000,
7538,5,h,S,14.7,2,2,558,239,South-Eastern Metropolitan,3692,900000,32
7539,3,h,SP,14.7,2,2,0,,South-Eastern Metropolitan,3692,782000,
7540,2,h,PI,14.7,1,2,428,,South-Eastern Metropolitan,3692,580000,
7541,4,h,S,14.7,2,2,596,161,South-Eastern Metropolitan,3692,,39
7542,2,u,S,14.7,,,,,South-Eastern Metropolitan,3692,665000,
7543,2,u,SN,14.7,,,,,South-Eastern Metropolitan,3692,,
7544,3,h,S,14.7,1,2,530,,South-Eastern Metropolitan,3692,937500,
7545,3,h,S,14.7,2,2,716,,South-Eastern Metropolitan,3692,1080000,
7546,3,h,S,14.7,2,2,575,120,South-Eastern Metropolitan,3692,1000000,59
7547,2,h,S,14.7,,,,,South-Eastern Metropolitan,3692,800000,
7548,3,u,SP,14.7,,,,,South-Eastern Metropolitan,3692,615000,
7549,3,h,PI,14.7,1,2,565,110,South-Eastern Metropolitan,3692,,54
7550,3,h,S,14.7,1,4,743,,South-Eastern Metropolitan,3692,1235000,
7551,4,h,SP,14.7,2,1,567,164,South-Eastern Metropolitan,3692,801347,49
7552,3,h,S,14.7,,,,,South-Eastern Metropolitan,3692,765000,
7553,3,u,SP,14.7,,,,,South-Eastern Metropolitan,3692,710000,
7554,3,h,S,14.7,1,2,535,129,South-Eastern Metropolitan,3692,921000,49
7555,6,h,S,14.7,2,6,1200,181,South-Eastern Metropolitan,3692,1900000,49
7556,2,h,SP,14.7,1,1,308,112,South-Eastern Metropolitan,3692,752500,69
7557,3,h,SP,14.7,,,,,South-Eastern Metropolitan,3692,,
7558,4,h,PI,14.7,2,2,558,,South-Eastern Metropolitan,3692,800000,
7559,4,h,S,14.7,,,,,South-Eastern Metropolitan,3692,1225000,
7560,3,h,S,14.7,,,,,South-Eastern Metropolitan,3692,1200500,
7561,4,h,PI,14.7,2,4,602,131,South-Eastern Metropolitan,3692,,69
7562,3,h,S,14.7,,,,,South-Eastern Metropolitan,3692,1141000,
7563,3,t,S,14.7,1,2,252,,South-Eastern Metropolitan,3692,800000,
7564,3,h,S,14.7,,,,,South-Eastern Metropolitan,3692,1125000,
7565,5,h,SP,14.7,2,4,1176,,South-Eastern Metropolitan,3692,,
7566,3,h,S,14.7,1,2,648,122,South-Eastern Metropolitan,3692,1067000,79
7567,4,h,S,14.7,2,4,993,,South-Eastern Metropolitan,3692,1310000,59
7568,3,h,S,14.7,2,2,0,,South-Eastern Metropolitan,3692,800000,
7569,3,h,S,14.7,1,1,774,107,South-Eastern Metropolitan,3692,1260500,69
7570,4,h,S,14.7,,,,,South-Eastern Metropolitan,3692,676000,
7571,2,h,PI,14.7,1,2,650,119,South-Eastern Metropolitan,3692,,69
7572,3,h,S,14.7,1,2,531,118,South-Eastern Metropolitan,3692,850500,57
7573,2,u,S,14.7,1,1,204,,South-Eastern Metropolitan,3692,625000,
7574,3,h,S,14.7,2,2,727,,South-Eastern Metropolitan,3692,980500,
7575,3,h,S,14.7,2,2,609,172,South-Eastern Metropolitan,3692,1068000,49
7576,4,h,SP,14.7,,,,,South-Eastern Metropolitan,3692,840000,
7577,3,t,S,14.7,,,,,South-Eastern Metropolitan,3692,935000,
7578,3,h,S,14.7,,,,,South-Eastern Metropolitan,3692,800000,
7579,4,h,SP,14.7,2,2,539,226,South-Eastern Metropolitan,3692,937500,26
7580,3,h,S,14.7,,,,,South-Eastern Metropolitan,3692,900000,
7581,4,h,S,14.7,,,,,South-Eastern Metropolitan,3692,1410000,
7582,4,h,S,14.7,2,2,530,242,South-Eastern Metropolitan,3692,1126000,39
7583,2,h,S,14.7,1,1,806,89,South-Eastern Metropolitan,3692,778000,54
7584,4,h,S,2.6,2,2,357,249,Northern Metropolitan,2309,1230000,10
7585,3,u,S,2.6,2,1,0,139,Northern Metropolitan,2309,1360000,
7586,5,h,PI,2.6,,,,,Northern Metropolitan,2309,1300000,
7587,4,h,S,2.6,3,1,335,,Northern Metropolitan,2309,,
7588,2,h,S,2.6,1,1,187,102,Northern Metropolitan,2309,1805000,129
7589,1,u,S,2.6,1,1,0,,Northern Metropolitan,2309,352500,
7590,8,u,S,2.6,,,,,Northern Metropolitan,2309,3210000,
7591,2,u,VB,2.6,,,,,Northern Metropolitan,2309,500000,
7592,2,h,S,2.6,1,0,262,149,Northern Metropolitan,2309,,139
7593,1,u,SP,2.6,1,1,2469,,Northern Metropolitan,2309,395000,
7594,5,h,SN,2.6,,,,,Northern Metropolitan,2309,,
7595,1,h,S,2.6,1,1,0,,Northern Metropolitan,2309,307000,
7596,2,h,S,2.6,2,1,190,172,Northern Metropolitan,2309,2200000,144
7597,1,u,PI,2.6,1,1,0,,Northern Metropolitan,2309,485000,
7598,10,h,VB,2.6,,,,,Northern Metropolitan,2309,2800000,
7599,1,u,SP,2.6,1,1,0,51,Northern Metropolitan,2309,,14
7600,4,h,S,2.6,2,1,165,,Northern Metropolitan,2309,1717500,
7601,2,h,S,2.6,1,0,70,102,Northern Metropolitan,2309,1265000,129
7602,1,u,S,2.6,1,1,0,,Northern Metropolitan,2309,401000,
7603,4,h,S,2.6,2,2,182,,Northern Metropolitan,2309,2375000,
7604,4,h,S,2.6,,,,,Northern Metropolitan,2309,1340000,
7605,2,h,S,2.6,1,1,172,,Northern Metropolitan,2309,1851000,119
7606,2,u,SP,2.6,2,1,2427,,Northern Metropolitan,2309,734600,29
7607,4,h,S,2.6,1,0,194,186,Northern Metropolitan,2309,1928000,129
7608,1,u,SP,2.6,1,1,2488,50,Northern Metropolitan,2309,526000,24
7609,3,h,S,2.6,2,1,154,196,Northern Metropolitan,2309,2236000,129
7610,1,u,S,2.6,1,1,2431,,Northern Metropolitan,2309,500000,
7611,3,u,S,2.6,2,2,2401,132,Northern Metropolitan,2309,1403000,39
7612,3,h,SP,2.6,2,2,173,,Northern Metropolitan,2309,965000,
7613,3,u,S,2.6,2,1,0,,Northern Metropolitan,2309,1040000,
7614,1,u,S,2.6,1,1,0,,Northern Metropolitan,2309,526000,24
7615,2,u,SP,2.6,1,1,2193,,Northern Metropolitan,2309,750000,
7616,3,h,S,9.9,1,2,50,141,Northern Metropolitan,7485,1120000,69
7617,3,h,S,9.9,1,4,560,120,Northern Metropolitan,7485,770000,59
7618,2,t,SP,9.9,,,,,Northern Metropolitan,7485,455000,
7619,2,u,PN,9.9,1,1,158,84,Northern Metropolitan,7485,,13
7620,2,h,S,9.9,1,3,629,,Northern Metropolitan,7485,915000,44
7621,2,t,SN,9.9,1,1,157,,Northern Metropolitan,7485,,
7622,4,h,S,9.9,1,1,733,159,Northern Metropolitan,7485,975000,59
7623,3,h,S,9.9,1,0,464,,Northern Metropolitan,7485,770000,
7624,3,h,S,9.9,1,1,446,115,Northern Metropolitan,7485,780000,69
7625,4,h,S,9.9,,,,,Northern Metropolitan,7485,1276000,
7626,3,u,S,9.9,1,1,204,124,Northern Metropolitan,7485,600000,11
7627,3,h,S,9.9,1,2,956,,Northern Metropolitan,7485,1465000,
7628,2,h,SP,9.9,2,2,420,,Northern Metropolitan,7485,,
7629,3,h,SN,9.9,1,1,409,,Northern Metropolitan,7485,,
7630,4,h,S,9.9,2,2,686,135,Northern Metropolitan,7485,955000,69
7631,3,h,S,9.9,1,1,505,,Northern Metropolitan,7485,767000,
7632,4,h,S,9.9,2,2,559,281,Northern Metropolitan,7485,1196000,22
7633,3,h,S,9.9,1,2,568,111,Northern Metropolitan,7485,731000,59
7634,2,h,S,9.9,1,2,336,,Northern Metropolitan,7485,555000,
7635,3,u,S,9.9,1,1,180,98,Northern Metropolitan,7485,585000,10
7636,2,t,S,9.9,,,,,Northern Metropolitan,7485,480000,
7637,2,t,PI,9.9,1,1,113,94,Northern Metropolitan,7485,480000,31
7638,4,t,PI,9.9,2,1,215,157,Northern Metropolitan,7485,605000,29
7639,2,u,SP,9.9,1,2,205,,Northern Metropolitan,7485,495000,
7640,3,h,SP,9.9,1,1,821,106,Northern Metropolitan,7485,738000,45
7641,2,h,S,9.9,1,1,111,67,Northern Metropolitan,7485,386000,32
7642,2,h,S,9.9,,,,,Northern Metropolitan,7485,517500,
7643,2,u,S,9.9,1,1,159,87,Northern Metropolitan,7485,452000,29
7644,3,h,S,9.9,1,1,192,121,Northern Metropolitan,7485,522500,14
7645,2,h,S,9.9,1,1,253,,Northern Metropolitan,7485,601500,19
7646,3,h,S,9.9,1,1,735,,Northern Metropolitan,7485,1305000,
7647,3,h,SN,9.9,1,2,520,110,Northern Metropolitan,7485,,54
7648,2,h,S,9.9,1,2,520,300,Northern Metropolitan,7485,741000,13
7649,2,u,PI,9.9,,,,,Northern Metropolitan,7485,,
7650,2,u,S,9.9,1,1,207,,Northern Metropolitan,7485,495000,44
7651,5,h,S,9.9,2,5,759,,Northern Metropolitan,7485,1345000,
7652,2,t,SP,9.9,1,1,156,98,Northern Metropolitan,7485,530000,15
7653,3,h,S,9.9,1,1,438,94,Northern Metropolitan,7485,815000,59
7654,4,h,PI,9.9,1,3,746,,Northern Metropolitan,7485,930000,
7655,2,u,SP,9.9,1,1,0,,Northern Metropolitan,7485,521500,49
7656,4,h,VB,9.9,1,3,683,,Northern Metropolitan,7485,730000,
7657,3,h,S,9.9,1,1,406,103,Northern Metropolitan,7485,775000,59
7658,2,u,SP,9.9,,,,,Northern Metropolitan,7485,495000,
7659,4,h,S,9.9,2,2,770,,Northern Metropolitan,7485,990000,
7660,5,h,VB,9.9,2,2,705,166,Northern Metropolitan,7485,950000,69
7661,2,h,S,9.9,1,3,629,,Northern Metropolitan,7485,915000,44
7662,3,h,S,9.9,1,1,637,,Northern Metropolitan,7485,,79
7663,3,h,S,9.9,1,1,570,139,Northern Metropolitan,7485,900000,69
7664,2,t,S,9.9,,,,,Northern Metropolitan,7485,476450,
7665,3,h,S,9.9,1,1,470,,Northern Metropolitan,7485,810000,
7666,2,h,S,9.9,1,2,650,,Northern Metropolitan,7485,920000,
7667,2,t,S,9.9,,,,,Northern Metropolitan,7485,590000,
7668,3,h,PI,9.9,1,2,422,132,Northern Metropolitan,7485,835000,69
7669,3,t,S,9.9,3,1,291,175,Northern Metropolitan,7485,790000,10
7670,4,h,VB,9.9,2,1,455,147,Northern Metropolitan,7485,810000,69
7671,3,t,SP,9.9,2,2,167,,Northern Metropolitan,7485,667500,
7672,2,t,VB,9.9,1,1,147,109,Northern Metropolitan,7485,500000,7
7673,2,u,S,9.9,1,1,139,74,Northern Metropolitan,7485,485000,44
7674,3,h,S,9.9,1,2,486,,Northern Metropolitan,7485,,
7675,2,u,S,9.9,1,2,219,84,Northern Metropolitan,7485,488000,18
7676,3,h,SP,9.9,2,2,608,168,Northern Metropolitan,7485,900000,79
